"Field1"
"I have purchased moto g5 plus 26 days back,from the very first day i am facing problems with this phone.Touch screen is not working properly,when i complained regarding the problem with flipcart they refused to take it back.Flipcart is cheating many people because they are not fulfilling return policy.I will never ever purchase anything from flipcart in future ,will not allow anybody from my circle to purchase anything from these cheaters.READ MORE"
"NO NATIVE (direct from phone with 3rd party app) VIDEO CALL OPTION AVAILABLE IN THIS PHONE AS LIKE IN SAMSUNG, MI AND OTHER BRANDS. MOTOROLA SHOULD PROVIDE THIS FUNCTION TO THEIR USERS OTHERWISE phone is good. camera in low light is very good. All over phone is good in this price range.READ MORE"
"Arguably the best all round smartphone under 20K.READ MORE"
"Mobile looking superREAD MORE"
"Performance wise no problem but I found heating issueREAD MORE"
"Use with charm, very good mobileREAD MORE"
"Best phone till yet under 18kREAD MORE"
"Everything OK in phone without speakers and microphone which have many issues regarding sound quality and many deflections also no any satisfaction from flipcart, totally nastier service.... And reject replacement and turn face on the issue.   ABSURDREAD MORE"
"Got the product Love flipkart delivery services got it in 3 days Works nicelygot it at a very low price of 9999Thank you flipkart!!!READ MORE"
"The best phone I ever bought, don't fall off to redmi's numbers or Samsung's ads, Moto is bestIt has best in class camera, best performance, awesome battery life thanks to Qualcomm Snapdragon 625 ,Good display, and amazing Stock Android 7.0, and 4k video !!!, Moto display, Moto Actions are also awesomeREAD MORE"
"Good product value for money, looks great in hand, buttery smooth, one thing I observed phone automatically lost wifi network and it is very frequent mai be OTA update will help, camera is average overall phone is good.READ MORE"
"Well I need not discuss about the processor speed and other specifications of the phone, as they have been already discussed in other reviews. I ordered for grey variant and though it looks bit masculine in nature but I like it. This has been lucky for me. Now I feel confident. Earlier people used to ignore me but since I had ordered this phone behaviour of people has changed towards me. Now my seniors entrust me with confidential work unlike before. I already had grey coloured Activa and hel...READ MORE"
"Update 3:It's a good phone but fails miserably in the most important area: ability to make calls!It just can't latch on to the signal in areas where signal reception is not great. It frequently looses connectivity in such areas. If if Network comes up, the voice breaks or calls drop. The rest of the phones in the house on the same Airtel Network work perfectly fine in the same areas. Also, the phone has problems finding and connecting to the best band - 2g, 3g or 4g. So signal drops fro...READ MORE"
"Flipkart wants me to believe that delivery means delivery and no matter if the product was defective or damaged. Replacements will happen though different process, will have to wait till the defective product is picked . I have been running pillar to post to understand why -1) replacement cannot happen though express delivery when you have already charged at the time of ordered, why should customers pay for delivery charges for damaged product 2)Call centre team suggest they have no clue...READ MORE"
"I ordered moto G5 plus on 15th march and Flipkart is very fast in delivering. I got my phone on 18th march.According to me this is best mid range phone from moto. Here is my review after 4 days.Pros:-1) awesome camera(both back and front)2) battery backup is really very good3) screen resolution and screen quality is also very good4) obviously it has turbo charger so it charges very fast(take 1-1:30 hours to charge)5) it doesn't heat while charging6) very good design as this phone has ...READ MORE"
"1.A lot of hanging and lagging issue on apps and games2.A lot of heating issue3.volume dead on apps and games4.sim card tray doesn't work5.auto power off and on issueI got the worst online shopping experience from flipkart.. It's very easy to give a statement of easy return but it never goes same....providing defected phone then wasting your time by formalities and in the end.. you get nothing but a defected phone .... #nomoreflipkartWell at last in place of replacing my item theysai...READ MORE"
"Bought this phone on same day when they launched. Now I guess its 7th day. TURBO means super fast charging but its taking 2 hours to charge the phone.Is this meaning of TURBO Charging?READ MORE"
"Tis' a Nice Phone, priced so Fair,Display so crisp, I see no Glare,The camera did amaze me,Aperture of f/1.7 too,Can shoot in quite dark,Tis' sure to amaze you.Fingerprint scanner, did justice to the phone,Tis' so accurate, got my mind blown.Snapdragon 625,  performs like a beast,Using it for hours, I still feel no heat.Battery packs small, still lasts long time,Turbo Charger is Bae, performs very Fine.Looks very sleek, Tis' a beautiful device,Also performs great, got some great ...READ MORE"
"Low light camera is poor QualityREAD MORE"
"Motorola is a trusted brand and it again proves it with Moto G 5 Plus. Pros.1. Software - If you are looking for a clean android experience Buy moto g5 plus. No Bloatware at all. and you can even disable all google apps including google search. Moto Experiences are a great Addition --Must have.2. Call - GPS -Network - all seem fine. 3. Build Quality Excellent.4. Excellent Camera for a mid range device - Don't compare with flagships. 5. Performance - Smooth - no lag. Fingerprint - Blazin...READ MORE"
"Those Who read the negative reviews and afraid about buying it through flipkart ... Please go for it! Its absolutely perfect ! Got it  the very next day i ordered and  its perfect ! Here r the reasons why g5+ is a better option than redmi note 4!Camera is better in G5 + ! MegaPixels dont matter but the lens matter! And redmi sucks on camera but g5+ works perfectly in low light too and also front cam is so so good in details and perfect!Battery is pretty good on both but g5+ has quick cha...READ MORE"
"I was looking for a change after using  Apple iphone 5S from 2 years !! And i brought the perfect one Hello Moto.This is company's most premium Moto G phone yet. It is also the most ambitious. It comes with a metal body. It also has a few special components like that much-talked about cameraMoto G5 Plus Fine GoldMoto G5 Plus Plastic out, aluminium in. :)Moto G5 Plus a smaller 5.2-inch screen easier to carry and easier to use.  :) Moto G5 Plus has a design that seems more Awsomeeeeeee. ...READ MORE"
"Is moto g5 plus led flash dim and yellowish or my phone is defective.plz confirm.READ MORE"
"AveregeREAD MORE"
"ok product.I am posting my review after few months of the usage.the performance definitely lag here.I personally didn't face any heating issue.The camera functionality has some serious issue,most of the times it doesn't start. Metal body is good.READ MORE"
"Mobile is marvelous.....battery is good No lag.....camera is awesome..I think Dolby atoms should be added by lenovo...but price is too high and moto made g5splus which disappointed me at this g5 price after 2 months of purchasingREAD MORE"
"Everything seems good except for heating issue. got this two days back and it gets insanely heated when chargingREAD MORE"
"Flipkart took 5 days to deliver product to my door way. I think to long but got my phone ,when I was sitting the phone it could not detect my own WiFi but can detect my neighbor WiFi....So, I call customer care they didn't response me .With the help of YouTube I was trying to find out what happening with my phone got no answers I change my mind to return the product so I reset my phone to data factory luckily!! I see my wifi Network then it connects with my WiFi.. I didn't used that much till...READ MORE"
"Very disatisfied with the productThe golden colour model look very cheapThe phn start hanging from the first day.When used with jio the phone comes in a loop and come to contact list .Sound is not good as expectedCamera quality is very poor .. original colour goes missing from the photo.Will not suggest to buy..READ MORE"
"AWESOME (UNBIASED REVIEW)Hello doston..im writing this review after 20 days of my usage..i bought this phone on 10 % discount for 15500 (max discount was of 1500)Pros..1-- 4k Camera (best under 20000 or even higher) Front Camera is also good, not the best but very good2-- Display  full HD ( simply superb)3-- User Interface  (stock android 7 nougat runs perfect) ( FINGERPRINT SCANNER works like a charm )4-- Moto Actions  ( believe me you will love it )5-- One button navigation loo...READ MORE"
